% function evaluation | noise-free fitness - Fopt (-1,694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4,107439831e+01 +4,107439831e+01 +2,413439831e+01 +2,413439831e+01 +2,3088e+00 -8,9919e-01 -2,9229e+00 -1,6728e+00 +4,6776e+00 -4,9388e+00 +4,6370e+00 +4,3987e+00 +4,4719e+00 +4,3708e+00
3 +9,995188472e+00 +9,995188472e+00 -6,944811528e+00 -6,944811528e+00 +1,9495e+00 +3,0523e+00 -4,9497e+00 +2,3135e-01 +2,4398e+00 -3,5798e+00 -1,8272e-01 +4,4555e-01 +7,7100e-01 -2,9509e+00
405 +6,053243715e+00 +6,053243715e+00 -1,088675629e+01 -1,088675629e+01 +2,8223e+00 +1,6900e+00 -1,7014e+00 -1,7250e+00 +3,9309e+00 -6,3723e-01 +4,1336e+00 -4,6118e+00 -1,8217e+00 -3,3844e+00
1307 +3,093967597e+00 +3,093967597e+00 -1,384603240e+01 -1,384603240e+01 +3,5299e+00 +5,9294e-01 -1,0764e+00 +1,4662e+00 +1,5208e+00 -8,4978e-01 +3,6121e+00 -1,6489e+00 -3,0475e-01 -2,2734e+00
1761 +2,501543811e+00 +2,501543811e+00 -1,443845619e+01 -1,443845619e+01 +3,2916e+00 +1,9645e+00 -8,6643e-02 +1,6001e+00 +1,5392e+00 -6,3864e-01 +1,7506e+00 -2,9720e+00 +3,6794e-02 -1,3145e+00
2824 +1,465521462e+00 +1,465521462e+00 -1,547447854e+01 -1,547447854e+01 +4,3503e+00 +3,3273e+00 -1,3729e+00 +1,8322e+00 +3,1075e-01 -2,2019e+00 +3,2145e+00 -2,1718e+00 -1,0045e+00 -2,4414e+00
6276 +9,605147269e-01 +9,605147269e-01 -1,597948527e+01 -1,597948527e+01 +3,5521e+00 +2,4424e+00 -1,6830e+00 +1,3002e+00 +1,2399e+00 -2,0548e+00 +3,0900e+00 -2,8630e+00 +4,7758e-02 -1,8979e+00
11834 +6,210299367e-01 +6,210299367e-01 -1,631897006e+01 -1,631897006e+01 +3,5392e+00 +2,8077e+00 -1,3055e+00 +1,5225e+00 +1,3443e+00 -1,5477e+00 +3,0479e+00 -2,3382e+00 -5,5649e-01 -2,0940e+00
13323 +3,882205601e-01 +3,882205601e-01 -1,655177944e+01 -1,655177944e+01 +3,5529e+00 +2,6419e+00 -1,1133e+00 +1,5016e+00 +1,2599e+00 -2,0127e+00 +3,3154e+00 -1,9939e+00 -3,2975e-01 -2,1636e+00
16032 +1,794080309e-01 +1,794080309e-01 -1,676059197e+01 -1,676059197e+01 +3,5887e+00 +2,4174e+00 -1,4855e+00 +1,3267e+00 +1,3967e+00 -1,7616e+00 +3,4440e+00 -2,2714e+00 -2,0603e-01 -2,0781e+00
20100 +1,477616356e-01 +1,477616356e-01 -1,679223836e+01 -1,679223836e+01 +3,6046e+00 +2,4876e+00 -1,4793e+00 +1,4221e+00 +1,3097e+00 -1,7977e+00 +3,5029e+00 -2,3593e+00 -3,4324e-01 -2,0309e+00
24283 +9,343424566e-02 +9,343424566e-02 -1,684656575e+01 -1,684656575e+01 +3,6710e+00 +2,5104e+00 -1,4842e+00 +1,5424e+00 +1,3562e+00 -1,9550e+00 +3,4986e+00 -2,3086e+00 -3,8678e-01 -1,9900e+00
28792 +5,819542623e-02 +5,819542623e-02 -1,688180457e+01 -1,688180457e+01 +3,6733e+00 +2,5635e+00 -1,5494e+00 +1,4735e+00 +1,3948e+00 -1,8963e+00 +3,5089e+00 -2,3349e+00 -3,4751e-01 -2,0272e+00
29391 +3,359016869e-02 +3,359016869e-02 -1,690640983e+01 -1,690640983e+01 +3,6426e+00 +2,5406e+00 -1,5021e+00 +1,4634e+00 +1,3986e+00 -1,8795e+00 +3,5037e+00 -2,3387e+00 -3,6447e-01 -2,0305e+00
35203 +2,371454313e-02 +2,371454313e-02 -1,691628546e+01 -1,691628546e+01 +3,6466e+00 +2,5396e+00 -1,5126e+00 +1,4644e+00 +1,4011e+00 -1,8921e+00 +3,5073e+00 -2,3366e+00 -3,6886e-01 -2,0359e+00
42569 +1,409764135e-02 +1,409764135e-02 -1,692590236e+01 -1,692590236e+01 +3,6524e+00 +2,5445e+00 -1,5211e+00 +1,4656e+00 +1,3955e+00 -1,8983e+00 +3,5059e+00 -2,3529e+00 -3,7733e-01 -2,0339e+00
46468 +9,785747796e-03 +9,785747796e-03 -1,693021425e+01 -1,693021425e+01 +3,6507e+00 +2,5496e+00 -1,5155e+00 +1,4704e+00 +1,3976e+00 -1,9013e+00 +3,5063e+00 -2,3465e+00 -3,7276e-01 -2,0360e+00
61929 +5,464041452e-03 +5,464041452e-03 -1,693453596e+01 -1,693453596e+01 +3,6529e+00 +2,5480e+00 -1,5223e+00 +1,4669e+00 +1,3962e+00 -1,9011e+00 +3,5048e+00 -2,3446e+00 -3,7618e-01 -2,0369e+00
68666 +3,754338967e-03 +3,754338967e-03 -1,693624566e+01 -1,693624566e+01 +3,6527e+00 +2,5478e+00 -1,5152e+00 +1,4681e+00 +1,3942e+00 -1,9015e+00 +3,5040e+00 -2,3442e+00 -3,7487e-01 -2,0372e+00
82493 +2,456765815e-03 +2,456765815e-03 -1,693754323e+01 -1,693754323e+01 +3,6525e+00 +2,5477e+00 -1,5157e+00 +1,4683e+00 +1,3941e+00 -1,9008e+00 +3,5038e+00 -2,3439e+00 -3,7478e-01 -2,0376e+00
